Antarctic Ice Vol Discharge (Gigatons per year),Transformed Year,CO2 (ppmv),Temperature (Kelvin)
-2691.9,3276,273.6906666666667,216.7
-2634.6,3286,273.64933333333335,217.54632589117494
-2736.2,3296,273.608,216.4
-2720.9,3306,273.56666666666666,217.54885502304728
-2702.9,3315,273.5253333333333,218.2
-2725.6,3326,273.48400000000004,217.55134930880493
-2706.1,3336,273.4426666666667,217.5525833843907
-2680.0,3346,273.40133333333335,217.55380874844784
-2674.0,3356,273.36,217.55502540097626
-2631.3,3365,273.3186666666667,217.55623334197605
-2710.6,3376,273.27733333333333,217.5574325714472
-2708.8,3386,273.236,217.55862308938964
-2723.8,3396,273.1946666666667,217.55980489580338
-2664.6,3406,273.15333333333336,217.5609779906884
-2723.2,3415,273.112,217.0
-2696.9,3426,273.0706666666667,217.56329804587259
-2741.0,3436,273.02933333333334,217.56444500617164
-2805.1,3446,272.988,217.565583254942
-2715.8,3456,272.94666666666666,217.56671279218375
-2690.1,3465,272.9053333333333,217.56783361789678
-2699.4,3476,272.86400000000003,217.56894573208112
-2705.7,3486,272.8226666666667,217.5700491347368
-2726.4,3496,272.78133333333335,217.5711438258638
-2713.9,3506,272.74,217.57222980546217
-2727.7,3515,272.69866666666667,217.57330707353185
-2668.0,3526,272.6573333333333,217.57437563007286
-2735.6,3536,272.616,217.57543547508516
-2773.0,3546,272.5746666666667,217.57648660856876
-2687.0,3556,272.53333333333336,217.57752903052375
-2720.2,3565,272.492,217.57856274095
-2739.7,3576,272.4506666666667,217.57958773984768
-2765.8,3586,272.40933333333334,216.8
-2705.0,3596,272.368,217.58161160305684
-2707.3,3606,272.32666666666665,217.58261046736845
-2736.6,3615,272.2853333333333,217.58360062015134
-2720.6,3626,272.244,217.58458206140563
-2671.0,3636,272.2026666666667,217.58555479113113
-2665.1,3646,272.16133333333335,217.58651880932806
-2682.8,3656,272.12,217.58747411599632
-2702.2,3665,272.07866666666666,217.58842071113585
-2678.9,3676,272.0373333333333,217.5893585947467
-2724.6,3686,271.996,217.59028776682888
-2705.0,3696,271.9546666666667,217.59120822738245
-2692.5,3706,271.91333333333336,217.59211997640728
-2736.9,3715,271.872,217.5930230139035
-2687.3,3726,271.8306666666667,217.59391733987098
-2689.6,3736,271.78933333333333,217.59480295430978
-2714.3,3746,271.748,217.59567985721992
-2683.4,3756,271.70666666666665,217.59654804860142
-2768.3,3765,271.6653333333333,217.59740752845423
-2679.2,3776,271.624,217.5982582967783
-2706.1,3786,271.5826666666667,217.5991003535738
-2700.9,3796,271.54133333333334,217.59993369884057
-2634.7,3806,271.5,217.60075833257875
-2678.0,3815,272.28,217.6015742547881
-2712.8,3826,273.06,217.60238146546885
-2631.0,3836,273.84,217.60317996462098
-2644.8,3846,274.62,217.60396975224435
-2651.3,3856,275.4,217.60475082833915
-2682.5,3865,275.34471544715444,217.60552319290517
-2679.4,3876,275.2894308943089,217.60628684594255
-2650.7,3886,275.2341463414634,217.4
-2681.9,3896,275.17886178861784,217.60778801743126
-2682.0,3906,275.12357723577236,217.0
-2656.7,3915,275.0682926829268,217.60925434280534
-2685.4,3926,275.0130081300813,217.3
-2631.8,3936,274.95772357723575,217.6106858220647
-2703.5,3946,274.9024390243902,217.1
-2673.7,3956,274.8471544715447,217.61208245520936
-2691.3,3965,274.79186991869915,217.9
-2694.3,3976,274.7365853658536,217.6134442422393
-2665.3,3986,274.68130081300814,217.61411206846122
-2718.0,3996,274.6260162601626,217.61477118315457
-2745.0,4006,274.57073170731707,217.6154215863192
-2679.0,4015,274.51544715447153,217.61606327795513
-2642.3,4026,274.460162601626,217.6166962580624
-2592.8,4036,274.40487804878046,217.61732052664098
-2636.1,4046,274.3495934959349,217.6179360836909
-2628.3,4056,274.2943089430894,217.6185429292121
-2584.6,4066,274.2390243902439,217.61914106320472
-2643.1,4076,274.1837398373984,217.61973048566864
-2666.4,4086,274.12845528455284,217.62031119660386
-2740.4,4096,274.0731707317073,217.62088319601042
-2592.1,4106,274.0178861788618,217.6214464838883
-2566.9,4116,273.96260162601624,217.6220010602375
-2570.2,4126,273.9073170731707,217.62254692505797
-2533.2,4136,273.85203252032517,217.62308407834988
-2477.3,4146,273.7967479674797,217.62361252011306
-2521.1,4156,273.74146341463415,217.62413225034754
-2488.6,4166,273.6861788617886,217.6246432690534
-2512.2,4176,273.6308943089431,217.62514557623052
-2485.7,4186,273.57560975609755,217.625639171879
-2499.7,4196,273.520325203252,216.0
-2485.4,4206,273.4650406504065,217.62660022858998
-2453.5,4216,273.40975609756094,218.2
-2365.8,4226,273.35447154471547,217.6275264391862
-2319.5,4236,273.29918699186993,217.62797647719128
-2271.1,4246,273.2439024390244,217.62841780366776
-2209.1,4256,273.18861788617886,217.62885041861549
-2272.4,4266,273.1333333333333,217.62927432203455
-2214.9,4276,273.0780487804878,217.62968951392497
-2197.6,4286,273.02276422764226,217.6300959942867
-2282.3,4296,272.9674796747967,217.6304937631198
-2147.3,4306,272.9121951219512,217.63088282042415
-2179.7,4316,272.8569105691057,217.63126316619983
-2093.3,4326,272.8016260162602,217.6316348004469
-2026.2,4336,272.74634146341464,217.63199772316523
-1991.1,4346,272.6910569105691,217.63235193435497
-2032.1,4356,272.63577235772357,217.63269743401597
-2004.8,4366,272.58048780487803,217.63303422214832
-2014.6,4376,272.5252032520325,217.633362298752
-2015.7,4386,272.46991869918696,217.633681663827
-2009.8,4396,272.4146341463415,217.6339923173733
-1974.1,4406,272.35934959349595,217.63429425939094
-1998.2,4416,272.3040650406504,217.6345874898799
-2047.3,4426,272.2487804878049,217.6348720088402
-1933.9,4436,272.19349593495934,217.63514781627183
-1933.5,4446,272.1382113821138,217.63541491217478
-1911.0,4456,272.0829268292683,217.63567329654902
-1950.7,4466,272.02764227642274,217.63592296939464
-1919.8,4476,271.97235772357726,217.63616393071152
-1909.0,4486,271.9170731707317,217.6363961804998
-1948.1,4496,271.8617886178862,217.6366197187594
-1914.6,4506,271.80650406504066,216.8
-1903.0,4516,271.7512195121951,217.6370406606925
-1977.1,4526,271.6959349593496,217.1
-1933.5,4536,271.64065040650405,217.63742675651096
-1912.1,4546,271.5853658536585,216.7
-1980.8,4556,271.53008130081304,217.63777800621466
-1939.0,4566,271.4747967479675,217.6
-1948.7,4576,271.41951219512197,217.63809440980373
-1952.9,4586,271.36422764227643,217.7
-1939.6,4596,271.3089430894309,217.63837596727805
-1965.3,4606,271.25365853658536,217.8
-1959.8,4616,271.1983739837398,217.63862267863766
-1957.9,4626,271.1430894308943,217.0
-2095.3,4636,271.0878048780488,217.6388345438826
-2017.8,4646,271.0325203252033,217.5
-2067.3,4656,270.97723577235774,217.63901156301284
-1963.5,4666,270.9219512195122,217.63908700528495
-1980.3,4676,270.8666666666667,217.63915373602842
-2037.6,4686,270.81138211382114,217.63921175524314
-2002.6,4696,270.7560975609756,217.63926106292925
-2059.2,4706,270.70081300813007,217.63930165908667
-2056.1,4716,270.64552845528453,217.63933354371542
